2026-05-14 15:45:31,294 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-14 15:45:31,294'
2026-05-14 15:45:31,294 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-14 15:45:31,294'
2026-05-14 15:45:31,294 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-14 15:45:31,294'
2026-05-14 15:45:31,304 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-14 15:45:31,304'
2026-05-14 15:45:31,304 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-14 15:45:31,304'
2026-05-14 15:45:31,304 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-14 15:45:31,304'
2026-05-14 15:46:41,000 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-14 15:46:41,000'
2026-05-14 15:46:41,000 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-14 15:46:41,000'
2026-05-14 15:46:41,000 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-14 15:46:41,000'
2026-05-14 15:46:41,000 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-14 15:46:41,000'
2026-05-14 15:46:41,000 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-14 15:46:41,000'
2026-05-14 15:46:41,000 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-14 15:46:41,000'
2026-05-14 15:48:20,447 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-14 15:48:20,447'
2026-05-14 15:48:20,447 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-14 15:48:20,447'
2026-05-14 15:48:20,447 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-14 15:48:20,447'
2026-05-14 15:48:20,454 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-14 15:48:20,454'
2026-05-14 15:48:20,454 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-14 15:48:20,454'
2026-05-14 15:48:20,454 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-14 15:48:20,454'
2026-05-14 15:48:28,474 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-14 15:48:28,474'
2026-05-14 15:48:28,474 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-14 15:48:28,474'
2026-05-14 15:48:28,474 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-14 15:48:28,474'
2026-05-14 15:48:28,474 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-14 15:48:28,474'
2026-05-14 15:48:28,474 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-14 15:48:28,474'
2026-05-14 15:48:28,474 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-14 15:48:28,474'
2026-05-14 15:49:10,368 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-14 15:49:10,368'
2026-05-14 15:49:10,368 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-14 15:49:10,368'
2026-05-14 15:49:10,368 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-14 15:49:10,368'
2026-05-14 15:49:10,368 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-14 15:49:10,368'
2026-05-14 15:49:10,368 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-14 15:49:10,368'
2026-05-14 15:49:10,368 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-14 15:49:10,368'
2026-05-14 16:00:41,992 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-14 16:00:41,992'
2026-05-14 16:00:41,992 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-14 16:00:41,992'
2026-05-14 16:00:41,992 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-14 16:00:41,992'
2026-05-14 16:00:42,000 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-14 16:00:42,000'
2026-05-14 16:00:42,000 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-14 16:00:42,000'
2026-05-14 16:00:42,000 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-14 16:00:42,000'
2026-05-14 16:02:36,598 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-14 16:02:36,598'
2026-05-14 16:02:36,600 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-14 16:02:36,600'
2026-05-14 16:02:36,600 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-14 16:02:36,600'
2026-05-14 16:02:36,600 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-14 16:02:36,600'
2026-05-14 16:02:36,600 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-14 16:02:36,600'
2026-05-14 16:02:36,600 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-14 16:02:36,600'
2026-05-14 16:04:20,820 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-14 16:04:20,820'
2026-05-14 16:04:20,820 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-14 16:04:20,820'
2026-05-14 16:04:20,820 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-14 16:04:20,820'
