2026-05-13 00:08:09,085 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-13 00:08:09,085'
2026-05-13 00:08:09,085 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-13 00:08:09,085'
2026-05-13 00:08:09,100 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-13 00:08:09,100'
2026-05-13 00:08:09,100 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-13 00:08:09,100'
2026-05-13 00:08:09,100 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-13 00:08:09,100'
2026-05-13 00:08:09,100 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-13 00:08:09,100'
2026-05-13 00:08:58,743 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-13 00:08:58,743'
2026-05-13 00:08:58,743 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-13 00:08:58,743'
2026-05-13 00:08:58,743 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-13 00:08:58,743'
2026-05-13 00:08:58,743 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-13 00:08:58,743'
2026-05-13 00:08:58,743 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-13 00:08:58,743'
2026-05-13 00:08:58,743 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-13 00:08:58,743'
2026-05-13 00:09:43,843 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-13 00:09:43,843'
2026-05-13 00:09:43,843 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-13 00:09:43,843'
2026-05-13 00:09:43,843 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-13 00:09:43,843'
2026-05-13 00:09:43,858 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-13 00:09:43,858'
2026-05-13 00:09:43,858 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-13 00:09:43,858'
2026-05-13 00:09:43,858 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-13 00:09:43,858'
2026-05-13 00:18:18,551 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-13 00:18:18,551'
2026-05-13 00:18:18,551 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-13 00:18:18,551'
2026-05-13 00:18:18,551 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-13 00:18:18,551'
2026-05-13 00:18:18,551 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-13 00:18:18,551'
2026-05-13 00:18:18,551 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-13 00:18:18,551'
2026-05-13 00:18:18,551 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-13 00:18:18,551'
2026-05-13 00:19:24,051 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-13 00:19:24,051'
2026-05-13 00:19:24,051 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-13 00:19:24,051'
2026-05-13 00:19:24,051 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-13 00:19:24,051'
2026-05-13 00:19:24,051 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-13 00:19:24,051'
2026-05-13 00:19:24,051 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-13 00:19:24,051'
2026-05-13 00:19:24,051 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-13 00:19:24,051'
2026-05-13 00:19:44,638 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-13 00:19:44,638'
2026-05-13 00:19:44,638 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-13 00:19:44,638'
2026-05-13 00:19:44,638 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-13 00:19:44,638'
2026-05-13 00:19:44,638 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-13 00:19:44,638'
2026-05-13 00:19:44,638 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-13 00:19:44,638'
2026-05-13 00:19:44,638 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-13 00:19:44,638'
2026-05-13 00:21:21,961 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-13 00:21:21,961'
2026-05-13 00:21:21,961 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-13 00:21:21,961'
2026-05-13 00:21:21,961 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-13 00:21:21,961'
2026-05-13 00:21:21,961 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-13 00:21:21,961'
2026-05-13 00:21:21,961 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-13 00:21:21,961'
2026-05-13 00:21:21,961 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-13 00:21:21,961'
