2026-05-26 17:01:57,452 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-26 17:01:57,452'
2026-05-26 17:01:57,452 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-26 17:01:57,452'
2026-05-26 17:01:57,452 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-26 17:01:57,452'
2026-05-26 17:01:57,561 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-26 17:01:57,561'
2026-05-26 17:01:57,561 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-26 17:01:57,561'
2026-05-26 17:01:57,561 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-26 17:01:57,561'
2026-05-26 17:06:14,157 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-26 17:06:14,157'
2026-05-26 17:06:14,157 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-26 17:06:14,157'
2026-05-26 17:06:14,157 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-26 17:06:14,157'
2026-05-26 17:06:14,157 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-26 17:06:14,157'
2026-05-26 17:06:14,157 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-26 17:06:14,157'
2026-05-26 17:06:14,157 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-26 17:06:14,157'
2026-05-26 17:12:22,059 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-26 17:12:22,059'
2026-05-26 17:12:22,059 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-26 17:12:22,059'
2026-05-26 17:12:22,059 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-26 17:12:22,059'
2026-05-26 17:12:22,059 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-26 17:12:22,059'
2026-05-26 17:12:22,059 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-26 17:12:22,059'
2026-05-26 17:12:22,059 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-26 17:12:22,059'
2026-05-26 17:12:31,510 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-26 17:12:31,510'
2026-05-26 17:12:31,510 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-26 17:12:31,510'
2026-05-26 17:12:31,510 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-26 17:12:31,510'
2026-05-26 17:12:31,510 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-26 17:12:31,510'
2026-05-26 17:12:31,510 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-26 17:12:31,510'
2026-05-26 17:12:31,510 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-26 17:12:31,510'
2026-05-26 17:13:09,376 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-26 17:13:09,376'
2026-05-26 17:13:09,376 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-26 17:13:09,376'
2026-05-26 17:13:09,376 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-26 17:13:09,376'
2026-05-26 17:13:09,376 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-26 17:13:09,376'
2026-05-26 17:13:09,376 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-26 17:13:09,376'
2026-05-26 17:13:09,376 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-26 17:13:09,376'
2026-05-26 17:13:21,606 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-26 17:13:21,606'
2026-05-26 17:13:21,606 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-26 17:13:21,606'
2026-05-26 17:13:21,606 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-26 17:13:21,606'
2026-05-26 17:13:21,606 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-26 17:13:21,606'
2026-05-26 17:13:21,606 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-26 17:13:21,606'
2026-05-26 17:13:21,621 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-26 17:13:21,621'
2026-05-26 17:15:09,219 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-26 17:15:09,219'
2026-05-26 17:15:09,219 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-26 17:15:09,219'
2026-05-26 17:15:09,219 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-26 17:15:09,219'
2026-05-26 17:15:09,235 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-26 17:15:09,235'
2026-05-26 17:15:09,235 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-05-26 17:15:09,235'
2026-05-26 17:15:09,235 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-05-26 17:15:09,235'
2026-05-26 17:15:09,266 - DEBUG - Memuat blueprint 'setup' (prioritas=NORMAL)..| extra=asctime='2026-05-26 17:15:09,266'
2026-05-26 17:15:10,016 - DEBUG - Memuat blueprint 'setup' (prioritas=NORMAL)..| extra=asctime='2026-05-26 17:15:10,016'
2026-05-26 17:15:10,016 - DEBUG - Memuat blueprint 'setup_me' (prioritas=NORMAL)..| extra=asctime='2026-05-26 17:15:10,016'
2026-05-26 17:15:10,016 - DEBUG - All routes registered successfully| extra=asctime='2026-05-26 17:15:10,016'
2026-05-26 17:15:40,165 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-05-26 17:15:40,165'
2026-05-26 17:15:40,165 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-05-26 17:15:40,165'
2026-05-26 17:15:40,165 - DEBUG - Trying load 'test'..| extra=asctime='2026-05-26 17:15:40,165'
2026-05-26 17:15:40,181 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-05-26 17:15:40,181'
