2026-03-17 17:21:53,895 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-03-17 17:21:53,895'
2026-03-17 17:22:46,000 - INFO - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-03-17 17:22:46,000'
2026-03-17 17:22:46,000 - INFO - 'Guardian_Crash' internal package registered!| extra=asctime='2026-03-17 17:22:46,000'
2026-03-17 17:22:46,000 - DEBUG - Trying load 'test'..| extra=asctime='2026-03-17 17:22:46,000'
2026-03-17 17:22:46,016 - DEBUG - [test]: detected object module 'domain.WebApp_service.plugin.external.test.main', finding 'setup_me'..| extra=asctime='2026-03-17 17:22:46,016'
2026-03-17 17:22:46,016 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-17 17:22:46,016'
2026-03-17 17:22:46,016 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-03-17 17:22:46,016'
2026-03-17 17:22:49,125 - INFO - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-03-17 17:22:49,125'
2026-03-17 17:22:49,141 - INFO - 'Guardian_Crash' internal package registered!| extra=asctime='2026-03-17 17:22:49,141'
2026-03-17 17:22:49,141 - DEBUG - Trying load 'test'..| extra=asctime='2026-03-17 17:22:49,141'
2026-03-17 17:22:49,141 - DEBUG - [test]: detected object module 'domain.WebApp_service.plugin.external.test.main', finding 'setup_me'..| extra=asctime='2026-03-17 17:22:49,141'
2026-03-17 17:22:49,141 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-17 17:22:49,141'
2026-03-17 17:22:49,141 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-03-17 17:22:49,141'
2026-03-17 17:23:22,817 - INFO - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-03-17 17:23:22,817'
2026-03-17 17:23:22,817 - INFO - 'Guardian_Crash' internal package registered!| extra=asctime='2026-03-17 17:23:22,817'
2026-03-17 17:23:22,833 - DEBUG - Trying load 'test'..| extra=asctime='2026-03-17 17:23:22,833'
2026-03-17 17:23:22,833 - DEBUG - [test]: detected object module 'domain.WebApp_service.plugin.external.test.main', finding 'setup_me'..| extra=asctime='2026-03-17 17:23:22,833'
2026-03-17 17:23:22,833 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-17 17:23:22,833'
2026-03-17 17:23:22,833 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-03-17 17:23:22,833'
2026-03-17 17:24:11,624 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-03-17 17:24:11,624'
2026-03-17 17:24:11,624 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-03-17 17:24:11,624'
2026-03-17 17:24:11,624 - DEBUG - Trying load 'test'..| extra=asctime='2026-03-17 17:24:11,624'
2026-03-17 17:24:11,624 - DEBUG - [test]: detected object module 'domain.WebApp_service.plugin.external.test.main', finding 'setup_me'..| extra=asctime='2026-03-17 17:24:11,624'
2026-03-17 17:24:11,624 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-17 17:24:11,624'
2026-03-17 17:24:11,624 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-03-17 17:24:11,624'
2026-03-17 17:25:06,265 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-03-17 17:25:06,265'
2026-03-17 17:25:06,266 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-03-17 17:25:06,266'
2026-03-17 17:25:06,267 - DEBUG - Trying load 'test'..| extra=asctime='2026-03-17 17:25:06,267'
2026-03-17 17:25:06,283 - DEBUG - [test]: detected object module 'domain.WebApp_service.plugin.external.test.main', finding 'setup_me'..| extra=asctime='2026-03-17 17:25:06,283'
2026-03-17 17:25:06,284 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-17 17:25:06,284'
2026-03-17 17:25:06,284 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-03-17 17:25:06,284'
2026-03-17 17:25:57,776 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-03-17 17:25:57,776'
2026-03-17 17:25:57,784 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-03-17 17:25:57,784'
2026-03-17 17:25:57,784 - DEBUG - Trying load 'test'..| extra=asctime='2026-03-17 17:25:57,784'
2026-03-17 17:25:57,786 - DEBUG - [test]: detected object module 'domain.WebApp_service.plugin.external.test.main', finding 'setup_me'..| extra=asctime='2026-03-17 17:25:57,786'
2026-03-17 17:25:57,786 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-17 17:25:57,786'
2026-03-17 17:25:57,786 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-03-17 17:25:57,786'
