2026-04-26 15:52:41,142 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-04-26 15:52:41,142'
2026-04-26 15:52:41,158 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-04-26 15:52:41,158'
2026-04-26 15:52:41,158 - DEBUG - Trying load 'test'..| extra=asctime='2026-04-26 15:52:41,158'
2026-04-26 15:52:41,236 - DEBUG - [test]: detected object module 'domain.WebController.plugin.public_package.test.main', finding 'setup_me'..| extra=asctime='2026-04-26 15:52:41,236'
2026-04-26 15:52:41,236 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-04-26 15:52:41,236'
2026-04-26 15:52:41,236 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-04-26 15:52:41,236'
2026-04-26 15:58:00,356 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-04-26 15:58:00,356'
2026-04-26 15:58:00,356 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-04-26 15:58:00,356'
2026-04-26 15:58:00,356 - DEBUG - Trying load 'test'..| extra=asctime='2026-04-26 15:58:00,356'
2026-04-26 15:58:00,372 - DEBUG - [test]: detected object module 'domain.WebController.plugin.public_package.test.main', finding 'setup_me'..| extra=asctime='2026-04-26 15:58:00,372'
2026-04-26 15:58:00,372 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-04-26 15:58:00,372'
2026-04-26 15:58:00,372 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-04-26 15:58:00,372'
2026-04-26 16:02:01,104 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-04-26 16:02:01,104'
2026-04-26 16:02:01,104 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-04-26 16:02:01,104'
2026-04-26 16:02:01,104 - DEBUG - Trying load 'test'..| extra=asctime='2026-04-26 16:02:01,104'
2026-04-26 16:02:01,120 - DEBUG - [test]: detected object module 'domain.WebController.plugin.public_package.test.main', finding 'setup_me'..| extra=asctime='2026-04-26 16:02:01,120'
2026-04-26 16:02:01,120 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-04-26 16:02:01,120'
2026-04-26 16:02:01,120 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-04-26 16:02:01,120'
2026-04-26 16:03:15,287 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-04-26 16:03:15,287'
2026-04-26 16:03:15,287 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-04-26 16:03:15,287'
2026-04-26 16:03:15,287 - DEBUG - Trying load 'test'..| extra=asctime='2026-04-26 16:03:15,287'
2026-04-26 16:03:15,287 - DEBUG - [test]: detected object module 'domain.WebController.plugin.public_package.test.main', finding 'setup_me'..| extra=asctime='2026-04-26 16:03:15,287'
2026-04-26 16:03:15,287 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-04-26 16:03:15,287'
2026-04-26 16:03:15,287 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-04-26 16:03:15,287'
2026-04-26 17:38:04,791 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-04-26 17:38:04,791'
2026-04-26 17:38:04,831 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-04-26 17:38:04,831'
2026-04-26 17:38:52,587 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-04-26 17:38:52,587'
2026-04-26 17:38:52,587 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-04-26 17:38:52,587'
2026-04-26 17:38:52,587 - DEBUG - Trying load 'test'..| extra=asctime='2026-04-26 17:38:52,587'
2026-04-26 17:38:52,630 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-04-26 17:38:52,630'
2026-04-26 17:38:52,630 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-04-26 17:38:52,630'
2026-04-26 17:38:52,630 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-04-26 17:38:52,630'
