2026-06-22 14:00:38,153 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-06-22 14:00:38,153'
2026-06-22 14:00:38,731 - DEBUG - Memuat blueprint 'setup' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:00:38,731'
2026-06-22 14:00:39,169 - DEBUG - Memuat blueprint 'setup' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:00:39,169'
2026-06-22 14:00:39,169 - DEBUG - Memuat blueprint 'setup_me' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:00:39,169'
2026-06-22 14:00:39,169 - DEBUG - Registrasi selesai — berhasil: 3, gagal: 0.| extra=asctime='2026-06-22 14:00:39,169'
2026-06-22 14:00:39,184 - DEBUG - All routes registered successfully| extra=asctime='2026-06-22 14:00:39,184'
2026-06-22 14:00:39,184 - DEBUG - Server setup completed.| extra=asctime='2026-06-22 14:00:39,184'
2026-06-22 14:00:49,808 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-06-22 14:00:49,808'
2026-06-22 14:00:49,808 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-06-22 14:00:49,808'
2026-06-22 14:00:49,808 - DEBUG - Trying load 'test'..| extra=asctime='2026-06-22 14:00:49,808'
2026-06-22 14:00:49,808 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-06-22 14:00:49,808'
2026-06-22 14:00:49,808 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-06-22 14:00:49,808'
2026-06-22 14:00:49,808 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-06-22 14:00:49,808'
2026-06-22 14:00:49,995 - DEBUG - Memuat blueprint 'setup' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:00:49,995'
2026-06-22 14:00:50,089 - DEBUG - Memuat blueprint 'setup' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:00:50,089'
2026-06-22 14:00:50,089 - DEBUG - Memuat blueprint 'setup_me' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:00:50,089'
2026-06-22 14:00:50,151 - DEBUG - Registrasi selesai — berhasil: 3, gagal: 0.| extra=asctime='2026-06-22 14:00:50,151'
2026-06-22 14:00:50,151 - DEBUG - All routes registered successfully| extra=asctime='2026-06-22 14:00:50,151'
2026-06-22 14:00:50,151 - DEBUG - Server setup completed.| extra=asctime='2026-06-22 14:00:50,151'
2026-06-22 14:02:07,207 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-06-22 14:02:07,207'
2026-06-22 14:02:07,207 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-06-22 14:02:07,207'
2026-06-22 14:02:07,207 - DEBUG - Trying load 'test'..| extra=asctime='2026-06-22 14:02:07,207'
2026-06-22 14:02:07,222 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-06-22 14:02:07,222'
2026-06-22 14:02:07,222 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-06-22 14:02:07,222'
2026-06-22 14:02:07,222 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-06-22 14:02:07,222'
2026-06-22 14:02:07,425 - DEBUG - Memuat blueprint 'setup' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:02:07,425'
2026-06-22 14:02:07,613 - DEBUG - Memuat blueprint 'setup' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:02:07,613'
2026-06-22 14:02:07,613 - DEBUG - Memuat blueprint 'setup_me' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:02:07,613'
2026-06-22 14:02:07,613 - DEBUG - Registrasi selesai — berhasil: 3, gagal: 0.| extra=asctime='2026-06-22 14:02:07,613'
2026-06-22 14:02:07,629 - DEBUG - All routes registered successfully| extra=asctime='2026-06-22 14:02:07,629'
2026-06-22 14:02:07,629 - DEBUG - Server setup completed.| extra=asctime='2026-06-22 14:02:07,629'
2026-06-22 14:02:21,282 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-06-22 14:02:21,282'
2026-06-22 14:02:21,282 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-06-22 14:02:21,282'
2026-06-22 14:02:21,282 - DEBUG - Trying load 'test'..| extra=asctime='2026-06-22 14:02:21,282'
2026-06-22 14:02:21,282 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-06-22 14:02:21,282'
2026-06-22 14:02:21,282 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-06-22 14:02:21,282'
2026-06-22 14:02:21,282 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-06-22 14:02:21,282'
2026-06-22 14:02:21,485 - DEBUG - Memuat blueprint 'setup' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:02:21,485'
2026-06-22 14:02:21,579 - DEBUG - Memuat blueprint 'setup' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:02:21,579'
2026-06-22 14:02:21,579 - DEBUG - Memuat blueprint 'setup_me' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:02:21,579'
2026-06-22 14:02:21,579 - DEBUG - Registrasi selesai — berhasil: 3, gagal: 0.| extra=asctime='2026-06-22 14:02:21,579'
2026-06-22 14:02:21,641 - DEBUG - All routes registered successfully| extra=asctime='2026-06-22 14:02:21,641'
2026-06-22 14:02:21,641 - DEBUG - Server setup completed.| extra=asctime='2026-06-22 14:02:21,641'
2026-06-22 14:03:28,297 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-06-22 14:03:28,297'
2026-06-22 14:03:28,297 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-06-22 14:03:28,297'
2026-06-22 14:03:28,297 - DEBUG - Trying load 'test'..| extra=asctime='2026-06-22 14:03:28,297'
2026-06-22 14:03:28,297 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-06-22 14:03:28,297'
2026-06-22 14:03:28,297 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-06-22 14:03:28,297'
2026-06-22 14:03:28,297 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-06-22 14:03:28,297'
2026-06-22 14:03:28,516 - DEBUG - Memuat blueprint 'setup' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:03:28,516'
2026-06-22 14:03:28,719 - DEBUG - Memuat blueprint 'setup' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:03:28,719'
2026-06-22 14:03:28,719 - DEBUG - Memuat blueprint 'setup_me' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:03:28,719'
2026-06-22 14:03:28,719 - DEBUG - Registrasi selesai — berhasil: 3, gagal: 0.| extra=asctime='2026-06-22 14:03:28,719'
2026-06-22 14:03:28,735 - DEBUG - All routes registered successfully| extra=asctime='2026-06-22 14:03:28,735'
2026-06-22 14:03:28,735 - DEBUG - Server setup completed.| extra=asctime='2026-06-22 14:03:28,735'
2026-06-22 14:04:44,544 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-06-22 14:04:44,544'
2026-06-22 14:04:44,544 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-06-22 14:04:44,544'
2026-06-22 14:04:44,544 - DEBUG - Trying load 'test'..| extra=asctime='2026-06-22 14:04:44,544'
2026-06-22 14:04:44,544 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-06-22 14:04:44,544'
2026-06-22 14:04:44,544 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-06-22 14:04:44,544'
2026-06-22 14:04:44,544 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-06-22 14:04:44,544'
2026-06-22 14:04:44,747 - DEBUG - Memuat blueprint 'setup' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:04:44,747'
2026-06-22 14:04:44,912 - DEBUG - Memuat blueprint 'setup' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:04:44,912'
2026-06-22 14:04:44,912 - DEBUG - Memuat blueprint 'setup_me' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:04:44,912'
2026-06-22 14:04:44,912 - DEBUG - Registrasi selesai — berhasil: 3, gagal: 0.| extra=asctime='2026-06-22 14:04:44,912'
2026-06-22 14:04:44,964 - DEBUG - All routes registered successfully| extra=asctime='2026-06-22 14:04:44,964'
2026-06-22 14:04:44,997 - DEBUG - Server setup completed.| extra=asctime='2026-06-22 14:04:44,997'
2026-06-22 14:11:40,053 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-06-22 14:11:40,053'
2026-06-22 14:11:40,053 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-06-22 14:11:40,053'
2026-06-22 14:11:40,053 - DEBUG - Trying load 'test'..| extra=asctime='2026-06-22 14:11:40,053'
2026-06-22 14:11:40,063 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-06-22 14:11:40,063'
2026-06-22 14:11:40,063 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-06-22 14:11:40,063'
2026-06-22 14:11:40,063 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-06-22 14:11:40,063'
2026-06-22 14:11:40,268 - DEBUG - Memuat blueprint 'setup' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:11:40,268'
2026-06-22 14:11:40,430 - DEBUG - Memuat blueprint 'setup' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:11:40,430'
2026-06-22 14:11:40,430 - DEBUG - Memuat blueprint 'setup_me' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:11:40,430'
2026-06-22 14:11:40,432 - DEBUG - Registrasi selesai — berhasil: 3, gagal: 0.| extra=asctime='2026-06-22 14:11:40,432'
2026-06-22 14:11:40,440 - DEBUG - All routes registered successfully| extra=asctime='2026-06-22 14:11:40,440'
2026-06-22 14:11:40,442 - DEBUG - Server setup completed.| extra=asctime='2026-06-22 14:11:40,442'
2026-06-22 14:11:59,197 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-06-22 14:11:59,197'
2026-06-22 14:11:59,197 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-06-22 14:11:59,197'
